#{"t_start": 1592293946.6467316, "env_id": null}
r,l,t
-58,10,9.838754
-21,10,9.863422
-113,10,9.881539
22,10,9.901027
-104,10,9.919487
31,10,9.967275
8,10,9.985748
-49,10,10.003348
-41,10,10.020301
-32,10,10.038636
25,10,10.056818
31,10,10.074733
-52,10,10.093959
-24,10,10.112365
-55,10,10.130521
-64,10,10.149222
-26,10,10.169035
22,10,10.187947
114,10,10.247589
-12,10,10.266546
28,10,10.285355
-107,10,10.303859
8,10,10.322223
22,10,10.34165
-81,10,10.359789
-43,10,10.377501
-121,10,10.395732
-70,10,10.414336
42,10,10.433097
-6,10,10.450794
-12,10,10.469303
-58,10,10.517447
-27,10,10.537222
-38,10,10.554988
39,10,10.573287
-32,10,10.591202
-23,10,10.609041
60,10,10.626024
111,10,10.646423
11,10,10.663742
-107,10,10.681702
14,10,10.699836
11,10,10.717565
-44,10,10.737276
91,10,10.787619
54,10,10.807139
48,10,10.828081
128,10,10.846032
22,10,10.864761
91,10,10.883538
-9,10,10.901524
-15,10,10.91869
-21,10,10.937639
-4,10,10.955623
-75,10,10.973416
-115,10,10.990835
-67,10,11.010071
31,10,11.057566
-49,10,11.075066
-15,10,11.093057
-86,10,11.111521
-115,10,11.129793
-35,10,11.147707
22,10,11.166657
-78,10,11.184297
62,10,11.202249
-55,10,11.21967
8,10,11.238805
-98,10,11.257341
-1,10,11.306458
-47,10,11.325405
-95,10,11.343358
-9,10,11.361426
94,10,11.380695
25,10,11.399094
40,10,11.418137
-44,10,11.437101
108,10,11.461039
-21,10,11.486011
-81,10,11.505071
19,10,11.523612
100,10,11.542826
28,10,11.591325
131,10,11.612269
-38,10,11.631183
-38,10,11.650296
28,10,11.667838
31,10,11.687364
-66,10,11.704891
51,10,11.72295
111,10,11.7419
-23,10,11.760539
19,10,11.780469
-41,10,11.799418
31,10,11.818526
-55,10,11.866095
-84,10,11.884354
71,10,11.903506
-15,10,11.921457
22,10,11.940094
-3,10,11.95811
45,10,11.976515
79,10,11.996043
-35,10,12.013509
-9,10,12.032228
-98,10,12.050011
91,10,12.06846
-135,10,12.085317
-6,10,12.133665
22,10,12.152859
16,10,12.171417
-35,10,12.189069
51,10,12.207427
-104,10,12.2255
2,10,12.244169
85,10,12.263157
2,10,12.283345
74,10,12.301211
-32,10,12.320161
-61,10,12.338078
5,10,12.35639
-38,10,12.403728
54,10,12.422638
-98,10,12.439706
-58,10,12.459241
134,10,12.476987
2,10,12.496161
45,10,12.515075
-78,10,12.533778
102,10,12.552267
-3,10,12.570433
-38,10,12.589523
-52,10,12.607352
-15,10,12.654999
22,10,12.674076
5,10,12.693719
-12,10,12.712083
5,10,12.730936
8,10,12.750881
-61,10,12.770791
28,10,12.791513
42,10,12.810554
-18,10,12.829915
-55,10,12.847866
85,10,12.866006
-52,10,12.883442
-6,10,12.931845
-15,10,12.95011
11,10,12.968974
-32,10,12.987004
-35,10,13.004889
-47,10,13.023875
31,10,13.042048
-58,10,13.060168
-72,10,13.07812
102,10,13.09656
14,10,13.114889
-35,10,13.133775
-15,10,13.152688
42,10,13.200991
5,10,13.219517
68,10,13.239061
71,10,13.258048
-72,10,13.277993
-61,10,13.296231
-18,10,13.314869
-81,10,13.332782
-44,10,13.351107
14,10,13.370334
-6,10,13.389185
-15,10,13.406961
85,10,13.425552
-18,10,13.475101
-58,10,13.493947
28,10,13.51393
19,10,13.53233
145,10,13.55179
-32,10,13.569705
54,10,13.588222
19,10,13.607171
25,10,13.626012
5,10,13.643969
36,10,13.66434
5,10,13.684134
-55,10,13.701358
54,10,13.75019
-41,10,13.770136
54,10,13.790082
-12,10,13.808289
28,10,13.827201
-15,10,13.844525
171,10,13.864801
-1,10,13.882715
-38,10,13.901484
-50,10,13.920202
-18,10,13.938117
105,10,13.957065
