#{"t_start": 1589363563.0265014, "env_id": null}
r,l,t
19,10,6.922379
-42,10,6.936113
20,10,6.95207
60,10,6.968333
80,10,6.98429
-3,10,6.99931
40,10,7.015268
-1,10,7.030226
60,10,7.046536
-22,10,7.061056
-42,10,7.07498
60,10,7.118533
56,10,7.133494
15,10,7.1488
20,10,7.163761
80,10,7.180334
57,10,7.196149
-107,10,7.211073
80,10,7.22717
-2,10,7.242218
60,10,7.257647
20,10,7.2736
-84,10,7.286583
-23,10,7.302485
-22,10,7.346136
17,10,7.361696
-105,10,7.375657
-3,10,7.390935
-4,10,7.405169
-1,10,7.420164
-2,10,7.435165
16,10,7.451079
40,10,7.466611
-107,10,7.481529
19,10,7.496487
-23,10,7.511099
-63,10,7.526096
-1,10,7.568749
35,10,7.585093
80,10,7.602048
20,10,7.616559
59,10,7.631711
-20,10,7.645675
-1,10,7.661632
60,10,7.676591
58,10,7.692892
40,10,7.708128
-4,10,7.723051
60,10,7.737726
-23,10,7.752489
20,10,7.794687
-44,10,7.809293
19,10,7.824815
-43,10,7.839192
14,10,7.857251
19,10,7.872173
20,10,7.888171
20,10,7.902464
0,10,7.917425
60,10,7.932776
18,10,7.948732
0,10,7.9657
17,10,8.008572
-65,10,8.023381
39,10,8.038637
40,10,8.053597
38,10,8.069556
-20,10,8.084515
40,10,8.09988
60,10,8.115751
100,10,8.132709
80,10,8.149664
77,10,8.164629
0,10,8.179588
-1,10,8.194539
60,10,8.239418
100,10,8.25558
-1,10,8.270503
20,10,8.285513
-20,10,8.299471
-42,10,8.314393
-22,10,8.33039
-41,10,8.346309
40,10,8.36212
37,10,8.37708
-22,10,8.392823
60,10,8.409441
18,10,8.424359
-105,10,8.466777
80,10,8.482403
38,10,8.497362
39,10,8.513202
19,10,8.527919
0,10,8.542918
40,10,8.557773
19,10,8.573393
-22,10,8.58935
-2,10,8.605117
19,10,8.619078
-109,10,8.63408
-20,10,8.649167
80,10,8.692183
36,10,8.70817
-1,10,8.72305
-107,10,8.738221
-1,10,8.752224
-2,10,8.766981
-21,10,8.781899
20,10,8.79686
-22,10,8.81182
-1,10,8.82795
40,10,8.845905
40,10,8.860379
-22,10,8.875331
0,10,8.921032
0,10,8.939979
80,10,8.956961
-1,10,8.971752
80,10,8.986679
-1,10,9.001643
-40,10,9.017009
39,10,9.031933
38,10,9.047738
-2,10,9.062656
-40,10,9.076593
19,10,9.091595
-21,10,9.135295
-6,10,9.150673
20,10,9.166112
20,10,9.180333
-3,10,9.195335
-106,10,9.210289
80,10,9.226211
60,10,9.241535
-4,10,9.25673
-41,10,9.272066
-107,10,9.285739
80,10,9.301627
-23,10,9.316631
-1,10,9.361505
-2,10,9.377426
-3,10,9.392427
-21,10,9.406833
18,10,9.421058
0,10,9.437017
-21,10,9.450977
60,10,9.466935
-23,10,9.480897
40,10,9.496174
37,10,9.512122
80,10,9.528593
40,10,9.542617
20,10,9.58589
18,10,9.601748
-1,10,9.616254
-25,10,9.631173
-43,10,9.646413
0,10,9.661229
37,10,9.677009
17,10,9.691972
-2,10,9.706848
0,10,9.72285
-109,10,9.736521
-2,10,9.751897
-2,10,9.767242
20,10,9.809926
20,10,9.824843
80,10,9.8428
-22,10,9.858763
-108,10,9.873714
17,10,9.889671
-1,10,9.904631
80,10,9.921574
-1,10,9.936232
19,10,9.953214
17,10,9.968015
-4,10,9.983651
35,10,9.999473
40,10,10.043146
19,10,10.057165
40,10,10.072125
-1,10,10.087087
-2,10,10.101961
19,10,10.116443
16,10,10.131955
40,10,10.147202
0,10,10.16161
-3,10,10.17761
18,10,10.192905
19,10,10.207485
19,10,10.249459
18,10,10.264426
18,10,10.279169
19,10,10.295126
20,10,10.310451
80,10,10.328439
80,10,10.346393
58,10,10.362052
-1,10,10.37634
0,10,10.393639
20,10,10.41163
19,10,10.427546
37,10,10.444539
60,10,10.488476
