#{"t_start": 1589271998.2475817, "env_id": null}
r,l,t
157,20,13.107403
135,20,13.140315
116,20,13.171979
174,20,13.203389
133,20,13.236305
156,20,13.266642
153,20,13.325968
176,20,13.35748
154,20,13.390394
176,20,13.421834
135,20,13.454041
177,20,13.483604
153,20,13.543034
116,20,13.573191
154,20,13.60435
174,20,13.636265
134,20,13.667083
175,20,13.69918
173,20,13.759982
138,20,13.78929
171,20,13.822433
175,20,13.853352
113,20,13.882276
116,20,13.913166
155,20,13.942077
175,20,13.998927
110,20,14.037857
56,20,14.067774
134,20,14.099464
93,20,14.130951
115,20,14.162778
158,20,14.2203
115,20,14.251474
136,20,14.281173
152,20,14.313381
136,20,14.344109
155,20,14.37499
152,20,14.408935
135,20,14.467892
176,20,14.5008
176,20,14.532754
133,20,14.56463
154,20,14.596781
155,20,14.627696
151,20,14.685959
154,20,14.719063
154,20,14.748938
153,20,14.781207
176,20,14.812865
176,20,14.845157
136,20,14.904998
175,20,14.936166
152,20,14.968046
174,20,14.999362
174,20,15.030279
176,20,15.061141
177,20,15.093216
176,20,15.155527
115,20,15.189707
133,20,15.220588
94,20,15.251374
94,20,15.282476
172,20,15.313392
172,20,15.372717
154,20,15.405636
152,20,15.439012
113,20,15.469892
172,20,15.501718
94,20,15.533634
135,20,15.564424
157,20,15.622905
175,20,15.65351
175,20,15.685072
174,20,15.716948
153,20,15.750857
135,20,15.783769
154,20,15.842495
138,20,15.874118
155,20,15.906226
156,20,15.938406
94,20,15.968874
154,20,16.00079
93,20,16.059832
156,20,16.090749
136,20,16.121172
174,20,16.153366
174,20,16.184455
133,20,16.217365
135,20,16.248574
134,20,16.306834
135,20,16.338317
95,20,16.368531
96,20,16.400566
174,20,16.433479
155,20,16.466378
152,20,16.52736
156,20,16.557769
176,20,16.587964
174,20,16.619493
134,20,16.651813
155,20,16.682681
135,20,16.714435
157,20,16.769578
133,20,16.798465
176,20,16.828421
176,20,16.856349
153,20,16.88623
155,20,16.917183
136,20,16.972998
79,20,16.999926
112,20,17.03088
94,20,17.058768
152,20,17.088726
136,20,17.11761
176,20,17.173497
153,20,17.203382
156,20,17.235332
154,20,17.267419
175,20,17.298131
151,20,17.33049
157,20,17.361372
116,20,17.421434
133,20,17.453843
175,20,17.484424
175,20,17.516371
115,20,17.547239
116,20,17.577642
55,20,17.635489
